Number,Word (Portuguese),Word (English),Imag_M,Imag_SD,Conc_M,Conc_SD,Subfreq_M,Subfreq_SD,P-PAL_Nlett,P-PAL_Nsyll,P-PAL_Syllabicstruct,P-PAL_PoS,P-PAL_FREQmil,P-PAL_FREQlog10,P-PAL_FREQZipf,P-PAL_ON,P-PAL_OLD20
1487,esquelético,skeletal,5.11,2.04,5.34,1.48,3.79,1.41,11,5,VC.CVV.CV.CV.CV,ADJ,0.215,0.085,2.332,1,3.250
1488,esquema,scheme,4.37,1.91,3.79,1.72,4.81,1.54,7,3,VC.CVV.CV,N,26.928,1.446,4.430,1,1.900
1489,esquilo,squirrel,6.33,1.22,6.59,0.77,3.02,1.14,7,3,VC.CVV.CV,N,0.235,0.092,2.370,4,1.700
1490,esquina,corner,4.92,1.79,5.96,1.12,4.18,1.05,7,3,VC.CVV.CV,N,7.895,0.949,3.897,2,1.750
1491,esquisito,weird,3.85,1.85,3.17,1.76,5.28,1.22,9,4,VC.CVV.CV.CV,ADJ,2.277,0.515,3.357,1,2.650
1492,essência,essence,3.23,1.69,2.73,1.32,4.28,1.53,8,3,VC.CVC.CVV,N,11.256,1.088,4.051,0,2.650
1493,essencial,essential,2.97,1.78,2.50,1.49,5.22,1.20,9,4,VC.CVC.CV.VC,"ADJ,N",67.335,1.835,4.828,0,2.800
1494,estábulo,stall,5.59,1.48,5.65,1.54,2.51,1.07,8,4,VC.CV.CV.CV,N,0.513,0.180,2.710,0,2.700
1495,estaca,stake,4.97,2.00,5.61,1.42,2.78,0.99,6,3,VC.CV.CV,"N,V",2.941,0.596,3.469,7,1.400
1496,estação,station,5.55,1.50,5.49,1.42,4.74,1.60,7,3,VC.CV.CVV,N,101.645,2.011,5.007,4,1.750
1497,estádio,stadium,5.97,1.38,5.97,1.45,4.50,1.35,7,3,VC.CV.CVV,N,48.013,1.690,4.681,2,1.850
1498,estado,state,3.92,2.04,3.65,1.95,5.19,1.62,6,3,VC.CV.CV,"N,V",615.070,2.790,5.789,5,1.350
1499,estágio,traineeship,4.10,2.08,4.83,1.79,4.22,1.48,7,3,VC.CV.CVV,N,18.799,1.297,4.274,2,1.950
1500,estagnado,stagnant,3.24,1.66,3.26,1.73,3.14,1.17,9,4,VC.CVC.CV.CV,"ADJ,V",0.811,0.258,2.909,2,1.800
1501,estaladiço,crispy,4.67,1.75,4.38,1.54,4.26,1.40,10,5,VC.CV.CV.CV.CV,ADJ,0.108,0.044,2.031,1,2.650
1502,estaleiro,shipyard,4.76,1.90,5.45,1.36,2.84,1.29,9,4,VC.CV.CVV.CV,N,7.592,0.934,3.880,0,2.500
1503,estante,bookcase,5.92,1.49,6.39,0.97,4.45,1.39,7,3,VC.CVC.CV,N,2.350,0.525,3.371,2,1.700
1504,estatal,state-owned,2.66,1.53,3.25,1.74,2.42,1.10,7,3,VC.CV.CVC,ADJ,23.406,1.388,4.369,0,2.000
1505,estatística,statistics,3.57,1.76,3.93,1.76,4.56,1.17,11,5,VC.CV.CVC.CV.CV,"ADJ,N",8.061,0.957,3.906,1,3.150
1506,estátua,statue,5.70,1.53,6.07,1.44,3.75,1.30,7,3,VC.CV.CVV,N,11.603,1.101,4.065,0,2.350
1507,estatuto,status,3.07,1.71,3.41,1.72,4.13,1.39,8,4,VC.CV.CV.CV,N,80.408,1.911,4.905,0,2.300
1508,estável,stable,3.15,1.58,3.08,1.72,5.19,1.17,7,3,VC.CV.CVC,ADJ,16.307,1.238,4.212,0,1.950
1509,esterco,dung,4.30,2.15,4.97,1.87,2.83,1.34,7,3,VC.CVC.CV,N,0.581,0.199,2.765,1,1.900
